Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,Croatia,HRV,0.380461002442148,0.372381337703162,0.348717880003178,0.342216478056714,0.328049765045363,0.327189937107967,0.321168119750227,0.320343418972142,0.294171691859504,0.285997004197195,0.295867962859152
CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,Belgium,BEL,0.246589435951094,0.218919253903148,0.214581795522911,0.216459306017398,0.199437630096587,0.205686097230577,0.201138884791749,0.194603470196539,0.193108046283011,0.187759538143227,0.182129780331626
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Austria,AUT,8107.730705,7922.195199,7770.628685,7633.338547,7441.51378,7391.89149,7313.564413,7270.289799,7081.285186,6963.743072,6863.078458
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Italy,ITA,48516.82612,46126.92408,46831.68941,44717.85373,43721.64912,44435.08512,44267.56772,44362.31155,44521.72038,44260.25921,43888.65304
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Norway,NOR,4961.4464,4861.9927,4822.439572,4704.257372,4617.556182,4639.201234,4622.128484,4605.561052,4498.428621,4369.86119,4342.761259
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Portugal,PRT,11628.37964,11920.76675,11681.90418,11477.79468,11456.31927,11489.68024,11434.62789,11569.87151,11389.79014,11437.36626,11383.20988
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Romania,ROU,18210.49011,16334.60979,16886.45107,17081.12017,17181.87176,17206.97107,17075.29252,17055.27782,16809.57813,16638.64093,16458.96123
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Russian Federation,RUS,557087.6168,566098.3115,560078.871,562356.9998,562762.0917,568592.4227,583174.4667,595374.1099,617987.1756,620983.1588,617227.2995
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Switzerland,CHE,5528.269765,5424.431338,5395.277672,5345.168296,5277.873312,5224.814676,5206.999464,5162.609488,5128.934511,5041.752034,4975.239558
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Turkiye,TUR,42380.28615,43992.93618,45458.25065,44417.68022,46620.0229,42513.29835,44562.39088,44972.72289,48223.15241,49343.09693,50444.76645
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Ukraine,UKR,38013.6525,36941.32,36555.14,37051.32729,35614.52457,33799.24936,33576.27249,33433.96311,33649.68624,33097.25686,32317.87499
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,United Kingdom,GBR,64549.42757,60590.26833,58300.45813,54458.01965,51997.12614,51485.04908,53065.03356,52798.12382,52228.16159,51502.79186,50415.67463
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Estonia,EST,1278.750713,1218.404849,1219.259058,1193.72865,1180.595601,1170.396426,1090.514826,1102.394489,1099.261653,1092.331316,1097.115979
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Croatia,HRV,3799.887783,3806.982421,3745.838784,3647.433029,3643.613749,3738.489602,3754.058864,3770.746894,3670.289924,3678.502955,3668.675985
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Belgium,BEL,9238.658108,8991.431876,8831.77803,8609.355986,8540.058697,8528.701682,8446.14364,8164.824385,8182.82513,8081.030875,7974.086619
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Austria,AUT,83550.95772,81738.65126,78292.56689,78909.03381,75143.18762,76429.62374,76780.91177,78699.13623,75582.15688,76622.88544,71017.8287
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Italy,ITA,482672.1703,472079.5591,453884.9483,421945.3474,402289.1041,413893.0962,409370.5756,404050.901,399052.2971,390001.3633,352128.8891
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Norway,NOR,50072.21256,48984.39785,48622.79297,49358.48472,49413.87239,50089.67668,49555.44922,49218.35839,48529.45976,47609.66673,46116.8172
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Portugal,PRT,68073.96507,67196.13929,65489.81718,63799.82422,63414.4256,67508.48674,66390.76779,70957.67981,66613.16462,61575.13853,55640.70734
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Romania,ROU,106101.8782,110692.839,108406.7203,99156.94285,98499.64262,100784.118,99274.84313,102254.6223,103464.5622,101844.4251,95744.39542
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Russian Federation,RUS,2249521.458,2340370.262,2316611.01,2280313.549,2264924.245,2249219.684,2246727.882,2282284.734,2371535.611,2419133.843,2331479.378
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Switzerland,CHE,54762.18135,50649.0865,51951.56435,52977.68781,49167.61866,48392.16573,48900.51827,47920.92857,46682.73407,46475.84007,43987.63547
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Turkiye,TUR,371145.2694,393957.1712,409510.1845,400372.7777,425731.3098,433860.5305,460806.4063,503113.7066,503525.2445,491454.856,504956.3259
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ukraine,UKR,329151.167,345050.8317,337799.5732,333186.4969,298994.1535,249647.2432,261515.8028,235470.1646,246996.3706,236094.6283,227341.5857
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,United Kingdom,GBR,594574.7842,551090.6869,570949.2799,553319.1051,513738.0731,498506.3318,480170.1458,463736.3259,455529.9423,439332.0716,398323.6546
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Estonia,EST,21672.08663,21637.86275,20163.71941,22029.62753,20799.44491,17592.51222,18996.67903,19899.03282,18817.84752,13174.99211,10198.8019
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Croatia,HRV,26151.57551,25868.53541,23888.27888,22803.44883,21998.12626,22609.48542,22671.43852,23319.27005,22213.71599,22302.06393,21379.32606
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Belgium,BEL,124908.4666,113152.4764,111928.5141,112869.6307,106749.5809,111403.0469,110335.3227,108193.7955,108952.4335,108086.3373,100063.4878
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,
